No.,Time,Source,Destination,Protocol,Length,Info
20,0.000138,202.235.195.33,13.148.76.84,TCP,1518,51787  >  443 [ACK] Seq=4329 Ack=1 Win=657 Len=1464
21,0.000152,126.187.209.52,203.242.68.95,TCP,54,50022  >  5058 [ACK] Seq=1 Ack=2825 Win=26723 Len=0
22,0.000161,202.235.195.33,13.148.76.84,TCP,1502,51787  >  443 [ACK] Seq=5793 Ack=1 Win=657 Len=1448
23,0.000204,202.229.94.149,84.205.131.85,TCP,66,58612  >  22 [ACK] Seq=1 Ack=1 Win=229 Len=0 TSval=2109278887 TSecr=3835132838
24,0.000207,143.202.172.228,202.235.195.6,TCP,1514,443  >  35728 [ACK] Seq=1 Ack=1 Win=122 Len=1448 TSval=737270414 TSecr=853738
25,0.000219,221.182.118.8,203.242.85.196,ICMP,60,"Echo (ping) reply    id=0xda27, seq=5247/32532, ttl=116"
26,0.00022,203.242.85.196,77.143.115.114,ICMP,60,"Echo (ping) request  id=0xdf27, seq=4476/31761, ttl=61 (no response found!)"
27,0.000222,143.202.172.228,202.235.195.6,TCP,1514,443  >  35728 [ACK] Seq=1449 Ack=1 Win=122 Len=1448 TSval=737270414 TSecr=853738
28,0.000231,23.7.149.251,202.235.195.6,TCP,1514,443  >  49326 [ACK] Seq=1 Ack=1 Win=243 Len=1448 TSval=719591752 TSecr=658895000
29,0.000238,203.242.85.196,86.179.232.221,ICMP,60,"Echo (ping) request  id=0xdf27, seq=4476/31761, ttl=61 (no response found!)"
30,0.000239,203.242.85.196,178.64.180.169,ICMP,60,"Echo (ping) request  id=0xef27, seq=1569/8454, ttl=61 (no response found!)"
31,0.000245,23.7.149.251,202.235.195.6,TCP,1514,443  >  49326 [ACK] Seq=1449 Ack=1 Win=243 Len=1448 TSval=719591752 TSecr=658895000
32,0.000246,3.131.145.67,163.171.1.125,TCP,66,443  >  62026 [ACK] Seq=1 Ack=2749 Win=16375 Len=0 TSval=1631208083 TSecr=851307124
33,0.000256,173.66.45.212,202.235.195.6,TCP,1462,443  >  55429 [ACK] Seq=1 Ack=1 Win=398 Len=1396 TSval=1372761024 TSecr=877514879
34,0.00026,203.242.85.196,46.205.23.55,ICMP,60,"Echo (ping) request  id=0xdf27, seq=4476/31761, ttl=61 (no response found!)"
35,0.000268,173.66.45.212,202.235.195.6,TCP,1462,443  >  55429 [ACK] Seq=1397 Ack=1 Win=398 Len=1396 TSval=1372761024 TSecr=877514879
36,0.000274,203.242.85.196,65.87.247.239,ICMP,60,"Echo (ping) request  id=0xdf27, seq=4476/31761, ttl=61 (no response found!)"
37,0.000282,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=1 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
38,0.000282,203.242.66.199,60.181.32.144,TCP,54,35089  >  63875 [ACK] Seq=1 Ack=4243 Win=15308 Len=0
39,0.000293,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=1449 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
40,0.00031,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=2897 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
41,0.000318,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=4345 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
42,0.000322,203.242.72.219,85.135.218.112,TCP,66,22  >  35550 [ACK] Seq=1 Ack=1 Win=123 Len=0 TSval=1518048785 TSecr=1844190284
43,0.00033,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=5793 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
44,0.000346,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=7241 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
45,0.000354,92.137.106.156,203.242.4.33,TCP,54,44771  >  35901 [SYN] Seq=0 Win=1024 Len=0
46,0.000355,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=8689 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
47,0.000368,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=10137 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
48,0.00038,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=11585 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
49,0.000394,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=13033 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
50,0.000404,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=14481 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
51,0.000423,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=7241 Ack=1 Win=657 Len=1440
52,0.000423,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=15929 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
53,0.00043,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=17377 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
54,0.000435,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=8681 Ack=1 Win=657 Len=1440
55,0.000442,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=18825 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
56,0.000448,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=10121 Ack=1 Win=657 Len=1440
57,0.000454,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=20273 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
58,0.000462,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=11561 Ack=1 Win=657 Len=1440
59,0.000464,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=107313 Ack=1 Win=1452 Len=1412
60,0.000465,203.242.72.219,85.135.218.112,TCP,130,"22  >  35550 [PSH, ACK] Seq=1 Ack=1 Win=123 Len=64 TSval=1518048785 TSecr=1844190284"
61,0.000467,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=21721 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
62,0.000471,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=13001 Ack=1 Win=657 Len=1440
63,0.000478,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=23169 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
64,0.000482,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=108725 Ack=1 Win=1452 Len=1412
65,0.000484,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=14441 Ack=1 Win=657 Len=1440
66,0.000491,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=24617 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
67,0.000496,202.235.195.33,13.148.76.84,TCP,1550,51787  >  443 [ACK] Seq=15881 Ack=1 Win=657 Len=1496
68,0.000502,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=26065 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
69,0.000512,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=110137 Ack=1 Win=1452 Len=1412
70,0.000515,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=27513 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
71,0.000528,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=28961 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
72,0.00053,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=111549 Ack=1 Win=1452 Len=1412
73,0.000541,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=30409 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
74,0.000541,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=17377 Ack=1 Win=657 Len=1440
75,0.00055,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=18817 Ack=1 Win=657 Len=1440
76,0.000552,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=31857 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
77,0.000556,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=112961 Ack=1 Win=1452 Len=1412
78,0.000563,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=20257 Ack=1 Win=657 Len=1440
79,0.000564,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=33305 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
80,0.000582,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=21697 Ack=1 Win=657 Len=1440
81,0.000582,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=34753 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
82,0.000583,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=114373 Ack=1 Win=1452 Len=1412
83,0.00059,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=36201 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
84,0.000592,202.235.195.33,13.148.76.84,TCP,1534,51787  >  443 [ACK] Seq=23137 Ack=1 Win=657 Len=1480
85,0.000597,203.242.85.196,188.5.29.156,ICMP,60,"Echo (ping) request  id=0xef27, seq=4727/30482, ttl=61 (no response found!)"
86,0.000601,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=37649 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
87,0.000613,203.242.85.196,197.158.34.35,ICMP,60,"Echo (ping) request  id=0xe527, seq=4586/59921, ttl=61 (no response found!)"
88,0.000613,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=39097 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
89,0.000614,203.242.85.196,187.14.171.193,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
90,0.00062,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=115785 Ack=1 Win=1452 Len=1412
91,0.000625,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=40545 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
92,0.000627,203.242.85.196,170.125.51.43,ICMP,60,"Echo (ping) request  id=0xe527, seq=4586/59921, ttl=61 (no response found!)"
93,0.000629,203.242.85.196,64.194.11.38,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
94,0.000638,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=41993 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
95,0.000651,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=43441 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
96,0.000663,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=44889 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
97,0.000675,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=46337 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
98,0.000681,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=117197 Ack=1 Win=1452 Len=1412
99,0.000681,203.242.85.196,151.96.14.165,ICMP,60,"Echo (ping) request  id=0xe527, seq=4586/59921, ttl=61 (no response found!)"
100,0.000687,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=47785 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
101,0.000695,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=118609 Ack=1 Win=1452 Len=1412
102,0.000695,203.242.85.196,90.246.186.28,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
103,0.0007,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=49233 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
104,0.000717,203.242.85.196,184.235.225.71,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
105,0.000717,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=50681 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
106,0.000724,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=52129 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
107,0.000736,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=53577 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
108,0.000742,203.242.68.95,126.187.209.52,TCP,1466,5058  >  50022 [ACK] Seq=120021 Ack=1 Win=1452 Len=1412
109,0.000742,203.242.85.196,108.65.253.159,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
110,0.000743,203.242.85.196,104.14.2.163,ICMP,60,"Echo (ping) request  id=0xe527, seq=4586/59921, ttl=61 (no response found!)"
111,0.000749,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=55025 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
112,0.000756,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=24617 Ack=43 Win=657 Len=1440
113,0.000757,203.242.85.196,5.217.166.52,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
114,0.000761,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=56473 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
115,0.00077,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=26057 Ack=43 Win=657 Len=1440
116,0.000773,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=57921 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
117,0.000782,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=27497 Ack=43 Win=657 Len=1440
118,0.000782,203.242.85.196,126.206.170.74,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
119,0.000783,203.242.85.196,126.94.129.94,ICMP,60,"Echo (ping) request  id=0xea27, seq=4585/59665, ttl=61 (reply in 3169)"
120,0.000787,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=59369 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
121,0.000794,203.242.85.196,75.241.208.57,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
122,0.000795,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=28937 Ack=43 Win=657 Len=1440
123,0.000798,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=60817 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
124,0.000811,203.242.85.196,61.67.95.194,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
125,0.000812,23.191.254.251,202.235.195.6,TCP,1514,80  >  50820 [ACK] Seq=62265 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884
126,0.000817,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=30377 Ack=43 Win=657 Len=1440
127,0.000818,203.242.85.196,27.226.210.55,ICMP,60,"Echo (ping) request  id=0xea27, seq=4585/59665, ttl=61 (no response found!)"
128,0.000828,140.252.70.61,203.242.68.70,UDP,176,49898  >  40033 Len=134[Packet size limited during capture]
129,0.000829,45.188.203.163,133.74.28.245,ICMP,60,"Echo (ping) request  id=0x50de, seq=0/0, ttl=49 (no response found!)"
130,0.000829,52.196.107.172,203.242.85.196,ICMP,60,"Echo (ping) reply    id=0xe527, seq=4586/59921, ttl=242"
131,0.000829,195.135.58.188,202.229.73.160,TCP,54,39910  >  81 [SYN] Seq=0 Win=65535 Len=0
132,0.00083,92.248.61.243,150.202.169.161,TCP,54,56691  >  27842 [SYN] Seq=0 Win=1024 Len=0
133,0.00083,17.148.89.180,163.171.243.103,TCP,62,"443  >  58629 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 WS=32"
134,0.00083,140.201.168.191,203.242.85.196,ICMP,60,"Echo (ping) reply    id=0xdf27, seq=2565/1290, ttl=247"
135,0.000831,3.131.145.67,163.171.1.125,TCP,66,443  >  62026 [ACK] Seq=1 Ack=8245 Win=16375 Len=0 TSval=1631208084 TSecr=851307124
136,0.000831,80.93.73.16,150.202.228.201,TCP,54,41903  >  2559 [SYN] Seq=0 Win=1024 Len=0
137,0.000831,203.242.85.196,171.206.44.13,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
138,0.000832,210.229.141.236,202.235.195.6,TCP,66,443  >  55779 [ACK] Seq=1 Ack=1 Win=1431 Len=0 TSval=2623616791 TSecr=168493041
139,0.000832,203.242.85.196,125.102.125.123,ICMP,60,"Echo (ping) request  id=0xea27, seq=4585/59665, ttl=61 (no response found!)"
140,0.000833,222.101.222.163,203.242.71.179,TCP,130,"27549  >  22 [PSH, ACK] Seq=1 Ack=1 Win=262 Len=64 TSval=3480748 TSecr=3001361191"
141,0.000834,172.163.38.91,202.235.195.6,TCP,66,443  >  46556 [ACK] Seq=1 Ack=1 Win=275 Len=0 TSval=3547169060 TSecr=15451967
142,0.000834,23.191.254.251,202.235.195.6,TCP,1514,"80  >  50820 [PSH, ACK] Seq=63713 Ack=1 Win=235 Len=1448 TSval=1640412654 TSecr=575789884"
143,0.000835,133.89.0.223,203.242.74.144,TCP,66,18872  >  80 [ACK] Seq=1 Ack=1 Win=64397 Len=0 TSval=382646080 TSecr=846867405
144,0.000835,202.235.195.33,13.148.76.84,TCP,1542,51787  >  443 [ACK] Seq=31817 Ack=43 Win=657 Len=1488
145,0.000843,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=33305 Ack=43 Win=657 Len=1440
146,0.000846,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=1 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
147,0.000856,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=34745 Ack=43 Win=657 Len=1440
148,0.000858,203.242.85.196,178.112.230.32,ICMP,60,"Echo (ping) request  id=0xea27, seq=4585/59665, ttl=61 (no response found!)"
149,0.000859,203.242.85.196,92.254.60.119,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
150,0.00086,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=1449 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
151,0.000872,202.235.195.33,13.148.76.84,TCP,1518,51787  >  443 [ACK] Seq=36185 Ack=43 Win=657 Len=1464
152,0.000872,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=2897 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
153,0.000885,185.148.48.141,163.171.141.26,TCP,54,51942  >  62610 [SYN] Seq=0 Win=1024 Len=0
154,0.000885,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=4345 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
155,0.000886,126.187.209.52,203.242.68.95,TCP,54,50022  >  5058 [ACK] Seq=1 Ack=11297 Win=26723 Len=0
156,0.000899,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=5793 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
157,0.0009,203.242.85.196,176.36.172.170,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
158,0.000911,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=7241 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
159,0.000917,203.242.85.196,2.123.192.216,ICMP,60,"Echo (ping) request  id=0xda27, seq=5247/32532, ttl=61 (no response found!)"
160,0.000923,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=8689 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
161,0.000937,3.131.145.67,163.171.1.125,TCP,66,443  >  62026 [ACK] Seq=1 Ack=17788 Win=16355 Len=0 TSval=1631208084 TSecr=851307124
162,0.000938,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=10137 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
163,0.000949,3.139.29.122,203.242.85.196,ICMP,60,"Echo (ping) reply    id=0xe527, seq=4586/59921, ttl=48"
164,0.00095,108.68.44.76,203.242.85.196,ICMP,74,Destination unreachable (Host unreachable)
165,0.000951,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=11585 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
166,0.000962,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=13033 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
167,0.000963,154.198.223.26,203.242.85.196,ICMP,110,Time-to-live exceeded (Time to live exceeded in transit)
168,0.000976,74.116.91.74,202.235.195.6,TCP,1462,443  >  54764 [ACK] Seq=1 Ack=1 Win=1049 Len=1396 TSval=1508702547 TSecr=1431355544
169,0.000986,74.116.91.74,202.235.195.6,TCP,1462,443  >  54764 [ACK] Seq=1397 Ack=1 Win=1049 Len=1396 TSval=1508702547 TSecr=1431355544
170,0.000999,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=14481 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
171,0.001016,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=15929 Ack=1 Win=208 Len=1448 TSval=2579825241 TSecr=1268195542
172,0.001017,8.200.117.164,202.235.195.6,TCP,565,"853  >  41754 [PSH, ACK] Seq=1 Ack=1 Win=705 Len=499 TSval=522631400 TSecr=202780"
173,0.001029,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=17377 Ack=1 Win=208 Len=1448 TSval=2579825242 TSecr=1268195542
174,0.00104,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=37649 Ack=43 Win=657 Len=1440
175,0.001042,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=18825 Ack=1 Win=208 Len=1448 TSval=2579825242 TSecr=1268195542
176,0.001052,173.66.45.212,202.235.195.6,TCP,1462,443  >  55429 [ACK] Seq=2793 Ack=1 Win=398 Len=1396 TSval=1372761025 TSecr=877514879
177,0.001055,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=39089 Ack=43 Win=657 Len=1440
178,0.001064,173.66.45.212,202.235.195.6,TCP,1462,443  >  55429 [ACK] Seq=4189 Ack=1 Win=398 Len=1396 TSval=1372761025 TSecr=877514879
179,0.001068,202.235.195.33,13.148.76.84,TCP,1494,51787  >  443 [ACK] Seq=40529 Ack=43 Win=657 Len=1440
180,0.001077,52.65.75.82,202.235.195.6,TCP,1514,443  >  53350 [ACK] Seq=20273 Ack=1 Win=208 Len=1448 TSval=2579825242 TSecr=1268195542
181,0.00108,202.235.195.33,13.148.76.84,TCP,1526,51787  >  443 [ACK] Seq=41969 Ack=43 Win=657 Len=1472
182,0.001083,52.65.75.82,202.235.195.6,TCP,701,"443  >  53350 [PSH, ACK] Seq=21721 Ack=1 Win=208 Len=635 TSval=2579825242 TSecr=1268195542"
183,0.001101,23.191.255.233,202.235.195.144,TCP,1514,443  >  61038 [ACK] Seq=4345 Ack=1 Win=1392 Len=1448 TSval=1581989534 TSecr=4214194534
184,0.001108,23.191.255.233,202.235.195.144,TCP,1514,443  >  61038 [ACK] Seq=5793 Ack=1 Win=1392 Len=1448 TSval=1581989534 TSecr=4214194534
185,0.00112,204.210.45.27,203.242.74.73,IPv4,90,[Packet size limited during capture]
